Material ,Reference,Method,Ed (eV),PKA - Atomic radii (A),PKA - Z ,PKA - mass (u),PKA-Coord. number,Avg. bond length (A),Density (g/cm^3),Ioniz E. (ev),Melting Temp. (K),Young Modulus (GPa)
Mg,O'Neal_1972,1,10,1.45,12,24.305,12,3.17,1.8,7.6462,923,45
Mg,Faust_1969,1,10,1.45,12,24.305,12,3.17,1.8,7.6462,923,45
Mg,Karim_1978,1,11,1.45,12,24.305,12,3.17,1.8,7.6462,923,45
Mg,Hossain_1977,1,11.33333333,1.45,12,24.305,12,3.17,1.8,7.6462,923,45
Al,Iseler_1966,2,16,1.18,13,26.9815,12,2.86,2.72,5.9858,933.47,70
Al,Lucasson_1962,2,32,1.18,13,26.9815,12,2.86,2.72,5.9858,933.47,70
Al,Neely_1966,2,19,1.18,13,26.9815,12,2.86,2.72,5.9858,933.47,70
Al,Simpson_1969,2,16,1.18,13,26.9815,12,2.86,2.72,5.9858,933.47,70
Al,Pruitt_1971,4,16,1.18,13,26.9815,12,2.86,2.72,5.9858,933.47,70
Al,Gao_1993,3,17,1.18,13,26.9815,12,2.86,2.72,5.9858,933.47,70
Al,Yang_2021,6,16,1.18,13,26.9815,12,2.86,2.72,5.9858,933.47,70
Al,Yang_2021,3,14,1.18,13,26.9815,12,2.86,2.72,5.9858,933.47,70
Cu,Iseler_1966,2,19,1.45,29,63.546,12,2.53,9.22,7.7264,1357.77,130
Cu,Lucasson_1962,2,22,1.45,29,63.546,12,2.53,9.22,7.7264,1357.77,130
Cu,Jung_1973,2,29.66666667,1.45,29,63.546,12,2.53,9.22,7.7264,1357.77,130
Cu,Sosin_1965,4,19,1.45,29,63.546,12,2.53,9.22,7.7264,1357.77,130
Cu,Gibson_1960,3,45.83333333,1.45,29,63.546,12,2.53,9.22,7.7264,1357.77,130
Cu,Bauer_1964,2,17.5,1.45,29,63.546,12,2.53,9.22,7.7264,1357.77,130
Cu,Kenik_1975,1,24.66666667,1.45,29,63.546,12,2.53,9.22,7.7264,1357.77,130
Cu,Corbett_1959,2,22,1.45,29,63.546,12,2.53,9.22,7.7264,1357.77,130
Cu,Kamada_1964,2,29,1.45,29,63.546,12,2.53,9.22,7.7264,1357.77,130
Cu,Yoshida_1980,1,14,1.45,29,63.546,12,2.53,9.22,7.7264,1357.77,130
Cu,Wollenberger_1965,5,15.32,1.45,29,63.546,12,2.53,9.22,7.7264,1357.77,130
Cu,Yang_2021,6,25,1.45,29,63.546,12,2.53,9.22,7.7264,1357.77,130
Cu,Yang_2021,3,18,1.45,29,63.546,12,2.53,9.22,7.7264,1357.77,130
Ag,Lucasson_1962,2,28,1.65,47,107.8682,12,2.9,10.36,7.5762,933.47,85
Ag,Roberts_1966,2,24,1.65,47,107.8682,12,2.9,10.36,7.5762,933.47,85
Ag,Corbett_1959,2,30,1.65,47,107.8682,12,2.9,10.36,7.5762,933.47,85
Ag,Ogilvie_1969,1,19.16666667,1.65,47,107.8682,12,2.9,10.36,7.5762,933.47,85
Ag,Vadja_1977,4,27,1.65,47,107.8682,12,2.9,10.36,7.5762,933.47,85
Ag,Yang_2021,6,24,1.65,47,107.8682,12,2.9,10.36,7.5762,933.47,85
Ag,Yang_2021,3,20,1.65,47,107.8682,12,2.9,10.36,7.5762,933.47,85
Fe,Lucasson_1962,2,24,1.56,26,55.845,8,2.48,7.9,7.9024,1811,211
Fe,Lomer_1967,2,25,1.56,26,55.845,8,2.48,7.9,7.9024,1811,211
Fe,Maury_1976,2,22.33333333,1.56,26,55.845,8,2.48,7.9,7.9024,1811,211
Fe,Erginsoy_1964,3,29.66666667,1.56,26,55.845,8,2.48,7.9,7.9024,1811,211
Fe,Ackland_1997,3,38.11538462,1.56,26,55.845,8,2.48,7.9,7.9024,1811,211
Fe,Olsson_2016_1,6,29,1.56,26,55.845,8,2.48,7.9,7.9024,1811,211
Fe,Olsson_2016_2,6,32,1.56,26,55.845,8,2.48,7.9,7.9024,1811,211
Fe,Olsson_2016_3,3,39,1.56,26,55.845,8,2.48,7.9,7.9024,1811,211
Fe,Nordlund_2006_1,3,22,1.56,26,55.845,8,2.48,7.9,7.9024,1811,211
Fe,Nordlund_2006_2,3,40,1.56,26,55.845,8,2.48,7.9,7.9024,1811,211
Fe,Nordlund_2006_3,3,45,1.56,26,55.845,8,2.48,7.9,7.9024,1811,211
Fe,Nordlund_2006_4,3,41,1.56,26,55.845,8,2.48,7.9,7.9024,1811,211
Fe,Nordlund_2006_5,3,54,1.56,26,55.845,8,2.48,7.9,7.9024,1811,211
Fe,Nordlund_2006_6,3,37,1.56,26,55.845,8,2.48,7.9,7.9024,1811,211
Fe,Nordlund_2006_7,3,39,1.56,26,55.845,8,2.48,7.9,7.9024,1811,211
Fe,Nordlund_2006_8,3,42,1.56,26,55.845,8,2.48,7.9,7.9024,1811,211
Fe,Nordlund_2006_9,3,33,1.56,26,55.845,8,2.48,7.9,7.9024,1811,211
Fe,Nordlund_2006_10,3,46,1.56,26,55.845,8,2.48,7.9,7.9024,1811,211
Fe,Nordlund_2006_11,3,37,1.56,26,55.845,8,2.48,7.9,7.9024,1811,211
Fe,Nordlund_2006_12,3,39,1.56,26,55.845,8,2.48,7.9,7.9024,1811,211
Fe,Björkas_2007_1,3,67,1.56,26,55.845,8,2.48,7.9,7.9024,1811,211
Fe,Björkas_2007_2,3,35,1.56,26,55.845,8,2.48,7.9,7.9024,1811,211
Fe,Björkas_2007_3,3,37,1.56,26,55.845,8,2.48,7.9,7.9024,1811,211
Fe,Björkas_2007_4,3,42,1.56,26,55.845,8,2.48,7.9,7.9024,1811,211
Fe,Björkas_2007_5,3,40,1.56,26,55.845,8,2.48,7.9,7.9024,1811,211
Fe,Fu_2018,3,30,1.56,26,55.845,8,2.48,7.9,7.9024,1811,211
Fe,Yang_2021,3,18,1.56,26,55.845,8,2.48,7.9,7.9024,1811,211
Mo,Lucasson_1962,2,37,1.9,42,95.95,8,2.74,10.02,7.0924,2896,329
Mo,Biget_1974,2,36,1.9,42,95.95,8,2.74,10.02,7.0924,2896,329
Mo,Maury_1975,3,40,1.9,42,95.95,8,2.74,10.02,7.0924,2896,329
Mo,Paisanot_2002_1,3,49,1.9,42,95.95,8,2.74,10.02,7.0924,2896,329
Mo,Paisanot_2002_2,3,42,1.9,42,95.95,8,2.74,10.02,7.0924,2896,329
Mo,Zag_1983,1,30.5,1.9,42,95.95,8,2.74,10.02,7.0924,2896,329
Mo,Banisalman_2019,3,38,1.9,42,95.95,8,2.74,10.02,7.0924,2896,329
Ni,Lucasson_1962,2,24,1.49,28,58.6934,12,2.46,9.29,7.6398,1728,200
Ni,Gao_1993,3,38,1.49,28,58.6934,12,2.46,9.29,7.6398,1728,200
Ni,Liu_2015,6,32,1.49,28,58.6934,12,2.46,9.29,7.6398,1728,200
Ni,Dimitrov_1994,2,22,1.49,28,58.6934,12,2.46,9.29,7.6398,1728,200
Ni,Yang_2021,6,27,1.49,28,58.6934,12,2.46,9.29,7.6398,1728,200
Ni,Yang_2021,3,38,1.49,28,58.6934,12,2.46,9.29,7.6398,1728,200
Ti,Lucasson_1962,2,29,1.76,22,47.867,14,2.99,4.67,6.8281,1941,116
Ti,Shirley_1972,2,19,1.76,22,47.867,14,2.99,4.67,6.8281,1941,116
Ti,Bacon_1993,3,29,1.76,22,47.867,14,2.99,4.67,6.8281,1941,116
Ti,Wooding_1994,3,31,1.76,22,47.867,14,2.99,4.67,6.8281,1941,116
Ti,Karim_1978,1,22.3,1.76,22,47.867,14,2.99,4.67,6.8281,1941,116
Ti,Yang_2021,6,23,1.76,22,47.867,14,2.99,4.67,6.8281,1941,116
Ti,Yang_2021,3,12,1.76,22,47.867,14,2.99,4.67,6.8281,1941,116
V,Miller_1974,2,26,1.71,23,50.9415,8,2.58,6.38,6.7462,2183,128
V,Kenik_1975,1,34.33,1.71,23,50.9415,8,2.58,6.38,6.7462,2183,128
V,Zepeda_2003,3,26.83,1.71,23,50.9415,8,2.58,6.38,6.7462,2183,128
V,Phuong_2021,3,29,1.71,23,50.9415,8,2.58,6.38,6.7462,2183,128
V,Yang_2021,6,26,1.71,23,50.9415,8,2.58,6.38,6.7462,2183,128
V,Yang_2021,3,12,1.71,23,50.9415,8,2.58,6.38,6.7462,2183,128
V,Banisalman_2019,3,32,1.71,23,50.9415,8,2.58,6.38,6.7462,2183,128
Ta,Meissner_1971,2,32,2,73,180.94788,8,2.87,16.57,7.5496,3290,186
Ta,Jung_1972,2,44.5,2,73,180.94788,8,2.87,16.57,7.5496,3290,186
Ta,Youngblood_1969,2,32,2,73,180.94788,8,2.87,16.57,7.5496,3290,186
Ta,Salman_2023,3,60,2,73,180.94788,8,2.87,16.57,7.5496,3290,186
Ta,Saile_1985,1,19.8,2,73,180.94788,8,2.87,16.57,7.5496,3290,186
Ta,Phillipp_1979,1,18,2,73,180.94788,8,2.87,16.57,7.5496,3290,186
Ta,Biget_1979,2,45.5,2,73,180.94788,8,2.87,16.57,7.5496,3290,186
Ge,Loferski_1958,2,14.5,1.25,32,72.64,4,2.46,5.28,7.8994,1211.4,130
Ge,Holström_2010,6,21,1.25,32,72.64,4,2.46,5.28,7.8994,1211.4,130
Ge,Poulin_1980,2,20,1.25,32,72.64,4,2.46,5.28,7.8994,1211.4,130
Si,Loferski_1958,2,12.9,1.11,14,28.0855,12,2.7,3.34,8.1517,1687,47
Si,Hemment_1969,2,22,1.11,14,28.0855,12,2.7,3.34,8.1517,1687,47
Si,Windl_1998,3,13,1.11,14,28.0855,12,2.7,3.34,8.1517,1687,47
Si,Windl_1998,3,11,1.11,14,28.0855,12,2.7,3.34,8.1517,1687,47
Si,Windl_1998,3,15.7,1.11,14,28.0855,12,2.7,3.34,8.1517,1687,47
Si,Sayed_1995,3,15.75,1.11,14,28.0855,12,2.7,3.34,8.1517,1687,47
Si,Mazzarolo_2001,3,20.33,1.11,14,28.0855,12,2.7,3.34,8.1517,1687,47
Si,Windl_1998,3,11.42,1.11,14,28.0855,12,2.7,3.34,8.1517,1687,47
Si,Windl_1998,3,15.08,1.11,14,28.0855,12,2.7,3.34,8.1517,1687,47
Si,Windl_1998,3,12.25,1.11,14,28.0855,12,2.7,3.34,8.1517,1687,47
Si,Miller_1994,3,15.6,1.11,14,28.0855,12,2.7,3.34,8.1517,1687,47
Si,Holmström_2008,6,24,1.11,14,28.0855,12,2.7,3.34,8.1517,1687,47
Si,Uhlmann_1997,3,23,1.11,14,28.0855,12,2.7,3.34,8.1517,1687,47
Si,Holmström_2009,6,23,1.11,14,28.0855,12,2.7,3.34,8.1517,1687,47
Si,Holmström_2009,3,20,1.11,14,28.0855,12,2.7,3.34,8.1517,1687,47
Si,Holmström_2009,3,18,1.11,14,28.0855,12,2.7,3.34,8.1517,1687,47
Si,Holmström_2009,3,13,1.11,14,28.0855,12,2.7,3.34,8.1517,1687,47
Nb,Youngblood_1969,2,36,1.98,41,92.90638,8,2.87,8.45,6.7589,2750,105
Nb,Phillipp_1979,1,24,1.98,41,92.90638,8,2.87,8.45,6.7589,2750,105
Nb,Yang_2021,6,28,1.98,41,92.90638,8,2.87,8.45,6.7589,2750,105
Nb,Yang_2022,3,20,1.98,41,92.90638,8,2.87,8.45,6.7589,2750,105
Cd,Maury_1971,2,19,1.61,48,112.411,12,3.18,8.37,8.9938,594.22,50
Cd,Karim_1978,1,9.8,1.61,48,112.411,12,3.18,8.37,8.9938,594.22,50
Zr,Biget_1971,2,21,2.06,40,91.224,12,3.22,6.45,6.6339,2128,67
Zr,Neely_1970,2,28,2.06,40,91.224,12,3.22,6.45,6.6339,2128,67
Zr,Ackland_1995,3,55,2.06,40,91.224,12,3.22,6.45,6.6339,2128,67
Zr,Yang_2021,6,20,2.06,40,91.224,12,3.22,6.45,6.6339,2128,67
Zr,Yang_2021,3,16,2.06,40,91.224,12,3.22,6.45,6.6339,2128,67
Co,Maury_1969,2,24,1.52,27,58.933195,12,2.47,9.2,7.881,1768,209
Co,Howe_1970,1,27.8,1.52,27,58.933195,12,2.47,9.2,7.881,1768,209
Pd,Jimenez_1967,2,34,1.69,46,106.42,12,2.77,11.76,8.3369,1828.05,121
W,Neely_1968,2,40,1.93,74,183.84,8,2.75,19.16,7.864,3695,411
W,Vadja_1977,4,50,1.93,74,183.84,8,2.75,19.16,7.864,3695,411
W,Banisalman_2017,3,85,1.93,74,183.84,8,2.75,19.16,7.864,3695,411
W,Fikar_2009,3,45,1.93,74,183.84,8,2.75,19.16,7.864,3695,411
W,Fikar_2009,3,61,1.93,74,183.84,8,2.75,19.16,7.864,3695,411
W,Fikar_2009,3,55,1.93,74,183.84,8,2.75,19.16,7.864,3695,411
W,Maury_1978,2,43,1.93,74,183.84,8,2.75,19.16,7.864,3695,411
W,Yang_2021,6,48,1.93,74,183.84,8,2.75,19.16,7.864,3695,411
W,Yang_2021,3,36,1.93,74,183.84,8,2.75,19.16,7.864,3695,411
W,Banisalman_2019,3,42,1.93,74,183.84,8,2.75,19.16,7.864,3695,411
U1,Beeler_2018,3,73.2,1.75,92,238.02891,8,2.9,21.15,6.1941,1405.3,208
U1,Beeler_2018,3,47.1,1.75,92,238.02891,8,2.9,21.15,6.1941,1405.3,208
U1,Beeler_2018,3,35.6,1.75,92,238.02891,8,2.9,21.15,6.1941,1405.3,208
U2,Beeler_2018,3,66.3,1.75,92,238.02891,8,2.48,19.1,6.1941,1405.3,208
Au,Bauer_1964,2,34.5,1.74,79,196.96657,12,2.95,18.03,9.2255,1337.33,78
Au,Bauer_1969,3,36,1.74,79,196.96657,12,2.95,18.03,9.2255,1337.33,78
Au,Ogilvie_1969,5,20.17,1.74,79,196.96657,12,2.95,18.03,9.2255,1337.33,78
Pt,Lowe_1966,5,37,1.77,78,195.084,12,2.79,21.13,8.9587,2041.4,168
Pb,Urban_1974,1,7.5,1.54,82,207.2,12,3.53,11.08,7.4167,600.61,16
Zn,Myhra_1973,2,14.5,1.42,30,65.38,12,2.87,7.53,9.3942,692.68,108
Zn,Karim_1978,1,9.2,1.42,30,65.38,12,2.87,7.53,9.3942,692.68,108
Th,Guinan_1973,2,35,1.8,90,232.03806,12,3.57,11.99,6.3067,2115,79
C1,Koike_1992,1,43.37,0.67,6,12.011,4,1.54,3.53,11.2603,4440,1220
C1,Bourgoin_1976,5,35,0.67,6,12.011,4,1.54,3.53,11.2603,4440,1220
C2,Zobelli_2007,5,282,0.67,6,12.011,3,1.42,1.94,11.2603,4489,18
C2,Crespi_1996,3,31.13,0.67,6,12.011,3,1.42,1.94,11.2603,4489,18
C2,Krasheninnikov_2005,3,22,0.67,6,12.011,3,1.42,1.94,11.2603,4489,18
C2,Steffen_1992,4,35,0.67,6,12.011,3,1.42,1.94,11.2603,4489,18
Lu,Daou_1977,2,17,2.17,71,174.967,12,3.46,9.95,5.4259,1925,67
Ir,Gely_1983,2,46,1.8,77,192.217,12,2.73,22.3,8.967,2719,528
Sn,Mcilwain_1975,2,22,1.45,50,118.71,6,3.1,7.13,7.3439,505.08,50